ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
MSH3	0	0	10	false
MSH4	0	0	6	false
Chrna7	0	0	1	false
MSH5	0	0	1	false
MSH6	0	0	22	false
PKP3	0	0	10	false
PDCD5	0	0	7	false
PKP2	0	0	11	false
PDCD4	0	0	8	false
PDCD2	0	0	6	false
PKP4	0	0	8	false
PDCD1	0	0	1	false
LRCH4	0	0	4	false
PKP1	0	0	8	false
KCNG2	0	0	1	false
KCNG3	0	0	3	false
PDCD7	0	0	5	false
SLA	0	0	7	false
PDCD6	0	0	8	false
RASL11B	0	0	1	false
IL1RAP	0	0	9	false
NPAS2	0	0	11	false
NPAS4	0	0	3	false
APEH	0	0	2	false
SLK	0	0	2	false
SLN	0	0	3	false
STX7	0	0	11	false
STX6	0	0	6	false
STX5	0	0	23	false
STX4	0	0	23	false
MAP3K7	0	0	30	false
STX3	0	0	12	false
NDOR1	0	0	1	false
MAP3K8	20	1,00	12	false
STX2	0	0	12	false
MAP3K5	0	0	43	false
KCNH1	0	0	3	false
KCNH2	0	0	5	false
MAP3K6	0	0	3	false
NEK9	0	0	10	false
PIAS4	0	0	17	false
KCND2	0	0	4	false
NEK6	0	0	26	false
NEK7	0	0	3	false
NEK8	0	0	2	false
RFXANK	0	0	10	false
FBXO38	0	0	2	false
C6orf15	0	0	3	false
PIAS1	0	0	23	false
FBXO34	0	0	1	false
PIAS3	0	0	21	false
FBXO31	0	0	3	false
PIAS2	0	0	25	false
FBXO32	0	0	2	false
Map4k3	0	0	1	false
FBXO30	0	0	1	false
SMO	0	0	2	false
DRAP1	0	0	14	false
BMP2K	0	0	1	false
MNAT1	0	0	16	false
NOP10	0	0	1	false
BLK	0	0	7	false
KCNE1	0	0	2	false
KCNE2	0	0	1	false
BLM	0	0	31	false
FBXO28	0	0	1	false
ZC4H2	0	0	1	false
FBXO27	0	0	1	false
MSI2	0	0	1	false
FBXO22	0	0	3	false
MMP25	0	0	1	false
FNTB	0	0	2	false
FNTA	0	0	5	false
TNFRSF8	0	0	7	false
NEK2	0	0	6	false
TNFRSF9	0	0	3	false
BMF	0	0	7	false
ZKSCAN5	0	0	2	false
TNFRSF4	0	0	2	false
SCXA	0	0	1	false
KCNJ5	0	0	4	false
KCNJ6	0	0	4	false
KCNJ8	0	0	1	false
UNC45A	0	0	2	false
KCNJ9	0	0	2	false
API5	0	0	1	false
DHPS	0	0	5	false
HTR1D	0	0	3	false
HTR1E	0	0	2	false
HTR1B	0	0	3	false
HTR1A	0	0	4	false
BMX	0	0	9	false
RABGGTB	0	0	3	false
MSL2	0	0	3	false
SON	0	0	1	false
SP1	1	0	88	false
SP3	0	0	15	false
SP2	0	0	2	false
SP4	0	0	4	false
Bcl2	0	0	1	false
Mcm6	0	0	1	false
SP8	0	0	3	false
KCNK3	0	0	3	false
Mcm2	0	0	1	false
BCAR1	0	0	46	false
IREB2	0	0	3	false
Map1lc3b	0	0	1	false
BCAR3	0	0	6	false
Map1lc3a	0	0	1	false
ONECUT1	0	0	5	false
SHMT2	0	0	7	false
ONECUT2	0	0	1	false
SHMT1	0	0	3	false
HTR2C	0	0	4	false
MLLT1	0	0	5	false
HTR2A	0	0	2	false
MLLT3	0	0	9	false
APJ1	0	0	1	false
APIP	0	0	5	false
MLLT4	0	0	33	false
FBXO44	0	0	2	false
BICD1	0	0	2	false
FBXO45	0	0	1	false
BICD2	0	0	8	false
MLLT6	0	0	4	false
SPN	0	0	3	false
BOC	0	0	5	false
NELF	0	0	1	false
BOK	0	0	2	false
BCAS1	0	0	2	false
PRLHR	0	0	2	false
MBIP	0	0	17	false
BCAS2	0	0	2	false
NOP58	0	0	2	false
SRCIN1	0	0	3	false
KCNH5	0	0	1	false
UNC5A	0	0	2	false
SORL1	0	0	3	false
BCS1L	0	0	1	false
CFDP1	0	0	1	false
C1D	0	0	3	false
IL2RA	0	0	1	false
IL2RB	0	0	13	false
GAPDH	0	0	29	false
NOP56	0	0	3	false
PIWIL3	0	0	1	false
ZMYND8	0	0	3	false
PIWIL2	0	0	1	false
SRC	5	0	123	false
C1R	0	0	3	false
PIWIL4	0	0	1	false
ALAS2	0	0	1	false
UHRF2	0	0	5	false
C1S	0	1,00	3	false
UHRF1	0	0	6	false
SRF	0	0	44	false
DYSF	0	0	1	false
SRI	0	0	9	false
LENG8	0	0	3	false
U2AF2	0	0	19	false
U2AF1	0	0	11	false
SRM	0	0	2	false
TNFSF13B	0	0	4	false
Ptpn6	0	0	1	false
MALT1	0	0	4	false
SRR	0	0	2	false
SRY	0	0	3	false
FBXO5	0	0	6	false
Cxxc1	0	0	1	false
Arrb2	0	0	5	false
KRIT1	0	0	3	false
FBXO4	0	0	6	false
FBXO7	0	0	9	false
