3	DLX1	pp	SMAD4
3	DCTN1	pp	RFXANK
3	RAP1GDS1	pp	EGFR
3	NEDD9	pp	UBC
3	DTX2	pp	SFN
3	ADRB2	pp	UBC
3	EGFR	pp	SOCS3
3	EGFR	pp	UBC
3	EGFR	pp	STAT5A
3	RELB	pp	UBC
3	RELB	pp	NFKB2
3	RELB	pp	NFKBIA
3	RELB	pp	BCL3
3	KLC2	pp	SFN
3	UBC	pp	MAPK1
3	UBC	pp	RGS20
3	UBC	pp	SFN
3	UBC	pp	PPARGC1A
3	UBC	pp	SMAD4
3	UBC	pp	NFKB2
3	UBC	pp	NFKBIA
3	UBC	pp	FOSL1
3	UBC	pp	AIMP2
3	UBC	pp	BCL3
3	UBC	pp	MDM4
3	MAPK1	pp	STAT5A
3	MAPK1	pp	TNIP1
3	SFN	pp	ARHGAP32
3	SFN	pp	MDM4
3	MYH10	pp	PBX1
3	SMAD4	pp	MDM4
3	POU2F2	pp	MNAT1
3	PTPN13	pp	NFKBIA
3	NFKB2	pp	BCL3
3	AIMP2	pp	LNX1
3	SH3RF2	pp	UBE2N
3	KRT15	pp	LNX1
4	RB1	pp	TGM2
4	RB1	pp	SERPINB2
4	RB1	pp	NCOA6
4	ALK	pp	SMC6
4	ALK	pp	MYLK
4	ALK	pp	IRF7
4	ALK	pp	SOCS1
4	ALK	pp	KRT18
4	CALCOCO1	pp	FOSL1
4	CALCOCO1	pp	KRT15
4	CCDC120	pp	KRT15
4	TRIO	pp	RAC1
4	TRAF3IP2	pp	CHUK
4	TRAF3IP2	pp	TRAF3
4	GLDC	pp	TNFAIP3
4	DOCK8	pp	RAC1
4	TNFAIP3	pp	CHUK
4	TNFAIP3	pp	TNIP1
4	TBC1D3F	pp	RAC1
4	PLAT	pp	PLAU
4	SMC5	pp	SMC6
4	NR3C1	pp	MED1
4	NR3C1	pp	NCOA6
4	NR3C1	pp	SRC
4	NR3C1	pp	RXRB
4	NR3C1	pp	PPARGC1A
4	NR3C1	pp	POU2F2
4	NR3C1	pp	PBX1
4	NR3C1	pp	NFKB2
4	NR3C1	pp	MAFF
4	TNF	pp	RAC1
4	TNF	pp	TNFRSF1B
4	TNF	pp	TNFRSF1A
4	SH3RF1	pp	RAC1
4	MYLK	pp	SRC
4	GHR	pp	SOCS3
4	GHR	pp	SOCS1
4	PNN	pp	KRT18
4	PLAU	pp	SERPINB2
4	PLAU	pp	PLAUR
4	CASP3	pp	TRAF3
4	CASP3	pp	BIRC3
4	NFKBIZ	pp	NFKB2
4	ZC3H12A	pp	TANK
4	TNFRSF8	pp	TRAF3
4	TNFRSF8	pp	TDP2
4	MAP3K8	pp	CHUK
4	MAP3K8	pp	NFKB2
4	RAC1	pp	VAV3
4	RAC1	pp	PARD6G
4	RAC1	pp	ARHGAP17
4	RAC1	pp	ARHGAP27
4	IKBKE	pp	TANK
4	KRT6B	pp	KRT15
4	MED1	pp	PPARGC1A
4	EPHA4	pp	SRC
4	EPHA4	pp	EFNA1
4	CHUK	pp	TANK
4	CHUK	pp	NFKB2
4	CHUK	pp	NFKBIA
4	NCOA6	pp	SRC
4	NCOA6	pp	BCL3
4	TSC22D3	pp	NFKB2
4	GAB2	pp	SRC
4	TNFRSF1B	pp	FANCD2
4	TNFRSF1B	pp	SMURF2
4	TNFRSF1B	pp	KRT18
4	TNFRSF1B	pp	TDP2
4	TNFRSF1A	pp	FANCD2
4	TNFRSF1A	pp	LTB
4	TNFRSF1A	pp	BIRC3
4	TNFRSF1A	pp	CEP110
4	PLSCR1	pp	SLPI
4	PLSCR1	pp	CRK
4	PLSCR1	pp	SRC
4	PLSCR1	pp	DTX2
4	PLSCR1	pp	NECAP2
4	TRAF3	pp	SRC
4	TRAF3	pp	TANK
4	TRAF3	pp	TNFSF14
4	TRAF3	pp	TDP2
4	RASA1	pp	SRC
4	RASA1	pp	SOCS3
4	IRF7	pp	TANK
4	SRSF6	pp	PPARGC1A
4	CRK	pp	SRC
4	CRK	pp	NEDD9
4	CRK	pp	ARHGAP17
4	CRK	pp	SOCS1
4	CRK	pp	BCAR1
4	CD44	pp	HBEGF
4	CD44	pp	SRC
4	BIRC3	pp	XAF1
4	SRC	pp	ARHGAP17
4	SRC	pp	ADRB2
4	SRC	pp	GRIN2A
4	SRC	pp	BCAR1
4	NEDD9	pp	BCAR1
4	RELB	pp	NFKB2
4	RELB	pp	NFKBIA
4	RELB	pp	BCL3
4	Gng2	pp	SMURF2
4	RHPN1	pp	KRT15
4	NFKB2	pp	BCL3
4	KRT18	pp	KRT15
5	RB1	pp	MRFAP1
5	RB1	pp	TGM2
5	RB1	pp	SERPINB2
5	RB1	pp	RFC1
5	RB1	pp	PPARG
5	RB1	pp	AURKB
5	RB1	pp	E4F1
5	SERPINE2	pp	PLAU
5	UBE2D2	pp	BIRC3
5	UBE2D2	pp	UBA6
5	UBE2D2	pp	RNF185
5	UBE2D3	pp	RNF185
5	TNFAIP3	pp	CHUK
5	TNFAIP3	pp	TNIP1
5	MED19	pp	NFKBIA
5	PLAT	pp	PLAU
5	PLAT	pp	LRP1
5	FGF1	pp	FGFR4
5	NR3C1	pp	NR2E3
5	NR3C1	pp	NCOA3
5	NR3C1	pp	PIAS2
5	NR3C1	pp	TP53
5	NR3C1	pp	PPARGC1A
5	NR3C1	pp	POU2F2
5	NR3C1	pp	PBX1
5	NR3C1	pp	NFKB2
5	NR3C1	pp	ZBTB9
5	NR3C1	pp	MAFF
5	NR2E3	pp	PPARG
5	NR2E3	pp	IRF9
5	NR2E3	pp	POLR3D
5	RPS6KA5	pp	MAPK1
5	XPO1	pp	UBC
5	PLAU	pp	SERPINB2
5	PLAU	pp	PLAUR
5	NFKBIZ	pp	NFKB2
5	MAP3K8	pp	CHUK
5	MAP3K8	pp	NFKB2
5	IKBKE	pp	UBC
5	KRT6B	pp	KRT15
5	IER3	pp	MAPK1
5	VAV3	pp	SHC1
5	RFC1	pp	TP53
5	CHUK	pp	NCOA3
5	CHUK	pp	NFKB2
5	CHUK	pp	NFKBIA
5	NCOA3	pp	PPARG
5	NCOA3	pp	UBC
5	NCOA3	pp	CARM1
5	TSC22D3	pp	NFKB2
5	PLAUR	pp	LRP1
5	PIAS2	pp	TP53
5	PIAS2	pp	STAT4
5	CDC25A	pp	UBC
5	MAPKSP1	pp	MAPK1
5	PLSCR1	pp	SLPI
5	PLSCR1	pp	ZNF638
5	PLSCR1	pp	SHC1
5	PLSCR1	pp	DTX2
5	TAL1	pp	GATA1
5	TAL1	pp	UBC
5	ZNF638	pp	KRT15
5	IRF7	pp	UBC
5	PPARG	pp	ZBTB5
5	PPARG	pp	PPARGC1A
5	PPARG	pp	ZBTB9
5	PPARG	pp	MAFF
5	TP53	pp	S100A8
5	TP53	pp	NEDD8
5	TP53	pp	DPH1
5	TP53	pp	UBC
5	TP53	pp	MAPK1
5	TP53	pp	E4F1
5	TP53	pp	BRD8
5	TP53	pp	NFKBIA
5	TP53	pp	CARM1
5	S100A9	pp	S100A8
5	S100A9	pp	NUAK1
5	S100A8	pp	NUAK1
5	BIRC3	pp	UBC
5	BIRC3	pp	XAF1
5	LRP1	pp	SHC1
5	LRP1	pp	PDGFB
5	LRP1	pp	GULP1
5	UBA6	pp	UBC
