ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE
PIAS4	0	0	17
KCND2	0	0	4
NEK6	0	0	26
NEK7	0	0	3
NEK8	0	0	2
RFXANK	0	0	10
FBXO38	0	0	2
C6orf15	0	0	3
PIAS1	0	0	23
FBXO34	0	0	1
PIAS3	0	0	21
FBXO31	0	0	3
PIAS2	0	0	25
FBXO32	0	0	2
Map4k3	0	0	1
FBXO30	0	0	1
SMO	0	0	2
DRAP1	0	0	14
BMP2K	0	0	1
MNAT1	0	0	16
NOP10	0	0	1
BLK	0	0	7
KCNE1	0	0	2
KCNE2	0	0	1
BLM	0	0	31
FBXO28	0	0	1
ZC4H2	0	0	1
FBXO27	0	0	1
MSI2	0	0	1
FBXO22	0	0	3
MMP25	0	0	1
FNTB	0	0	2
FNTA	0	0	5
TNFRSF8	0	0	7
NEK2	0	0	6
TNFRSF9	0	0	3
BMF	0	0	7
ZKSCAN5	0	0	2
TNFRSF4	0	0	2
SCXA	0	0	1
KCNJ5	0	0	4
KCNJ6	0	0	4
KCNJ8	0	0	1
UNC45A	0	0	2
KCNJ9	0	0	2
API5	0	0	1
DHPS	0	0	5
HTR1D	0	0	3
HTR1E	0	0	2
HTR1B	0	0	3
HTR1A	0	0	4
BMX	0	0	9
RABGGTB	0	0	3
MSL2	0	0	3
SON	0	0	1
SP1	1	0	88
SP3	0	0	15
SP2	0	0	2
SP4	0	0	4
Bcl2	0	0	1
Mcm6	0	0	1
SP8	0	0	3
KCNK3	0	0	3
Mcm2	0	0	1
BCAR1	0	0	46
IREB2	0	0	3
Map1lc3b	0	0	1
BCAR3	0	0	6
Map1lc3a	0	0	1
ONECUT1	0	0	5
SHMT2	0	0	7
ONECUT2	0	0	1
SHMT1	0	0	3
HTR2C	0	0	4
MLLT1	0	0	5
HTR2A	0	0	2
MLLT3	0	0	9
APJ1	0	0	1
APIP	0	0	5
MLLT4	0	0	33
FBXO44	0	0	2
BICD1	0	0	2
FBXO45	0	0	1
BICD2	0	0	8
MLLT6	0	0	4
SPN	0	0	3
BOC	0	0	5
NELF	0	0	1
BOK	0	0	2
BCAS1	0	0	2
PRLHR	0	0	2
MBIP	0	0	17
BCAS2	0	0	2
NOP58	0	0	2
SRCIN1	0	0	3
KCNH5	0	0	1
UNC5A	0	0	2
SORL1	0	0	3
BCS1L	0	0	1
